State,County,Date,Raw Description,Information type,Mitigation type,Note,UserID,Source
Louisiana,New Orleans,3/20/2020,New Orleans mayor orders citizens to stay at home except for life essentials,government,stay at home,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/20/2020,Drive thru testing begins for first responders at Orleans parish,government,new public services,Orleans parish,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/20/2020,"On March 20, two new drive-thru testing centers were opened in the parking lots of a local theater and a university arena in New Orleans, according to WDSU News. At first, the centers were only available to health care workers and first responders showing symptoms consistent with COVID-19, but now state officials have said that anyone with a fever and other COVID-19 symptoms may be tested, according to WDSU.",government,new public services,,BR30,https://www.livescience.com/louisiana-coronavirus-updates.html
Louisiana,Jefferson Parish,3/20/2020,Jefferson Parish announced on March 20 that curbside recycling pickup would be suspended citing the safety of workers in the industry,government,public service reduction,,BR30,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana
Louisiana,New Orleans,3/21/2020,Drive thru testing begins for first responders at Jefferson parish,government,new public services,Jefferson parish,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana ,,3/21/2020,EMERGENCY ORDER: TEMPORARY CLOSURE OF COMMERCIAL BODY ART AND TANNING FACILITIES DUE TO COVID-19 OUTBREAK,other,non-essential closing,,DY26,http://ldh.la.gov/assets/oph/Rulemaking/er/EmergencyOrderTattooBody.pdf
Louisiana,New Orleans,3/22/2020,Drive thru testing begins for anyone with symptoms,government,new public services,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/22/2020,Governor issues stay at home order for entire state,government,stay at home,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/22/2020,NOPD launches illegal gatherings investigation team,government,new public services,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/22/2020,Louisiana Gov. John Bel Edwards announced that the state would be under a stay-at-home order.,government,stay at home,,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154365
Louisiana ,,3/22/2020,Gov. Edwards Issues Statewide Stay at Home Order to Further Fight the Spread of COVID-19 in Louisiana,government,stay at home,"effect at 5 p.m. Monday, March 23",DY26,https://gov.louisiana.gov/order/
